,datasets,softwares,threads,sequences,CPU Usage,CPU Time,Memory Usage,Wall-clock Time
73,LSU_NR99,DT@BIONJ-V,32,1000,365,9.98,167.14,2.77
74,LSU_NR99,DT@BIONJ-V,1,2000,80,16.91,356.752,21.7
75,LSU_NR99,DT@BIONJ-V,32,2000,504,28.26,354.588,5.67
76,LSU_NR99,DT@BIONJ-V,1,4000,87,72.25,780.984,84.78999999999999
77,LSU_NR99,DT@BIONJ-V,32,4000,1124,166.87,774.916,14.95
78,LSU_NR99,DT@BIONJ-V,1,8000,90,284.55,1896.484,317.82
79,LSU_NR99,DT@BIONJ-V,32,8000,1899,918.79,1896.976,50.19
80,LSU_NR99,DT@BIONJ-V,1,16000,95,1597.74,5143.8,1692.17
81,LSU_NR99,DT@BIONJ-V,32,16000,2425,3951.7,5162.484,164.54
82,LSU_NR99,DT@BIONJ-V,1,32000,95,5792.48,18318.812,6167.0
83,LSU_NR99,DT@BIONJ-V,32,32000,2807,18900.23,20828.212,681.56
84,LSU_NR99,DT@NJ-R,1,1000,79,6.16,171.108,8.29
85,LSU_NR99,DT@NJ-R,32,1000,396,10.66,165.848,2.73
86,LSU_NR99,DT@NJ-R,1,2000,80,17.41,356.84,22.4
87,LSU_NR99,DT@NJ-R,32,2000,671,40.29,354.644,6.08
88,LSU_NR99,DT@NJ-R,1,4000,88,105.74,781.368,123.44
89,LSU_NR99,DT@NJ-R,32,4000,1208,187.49,775.904,15.77
90,LSU_NR99,DT@NJ-R,1,8000,90,547.0,1857.552,620.07
91,LSU_NR99,DT@NJ-R,32,8000,1873,901.43,1998.02,50.03
92,LSU_NR99,DT@NJ-R,1,16000,97,2423.4,6161.976,2532.35
93,LSU_NR99,DT@NJ-R,32,16000,2280,3167.87,6177.528,142.28
94,LSU_NR99,DT@NJ-R,1,32000,99,11186.15,22317.704,11522.0
95,LSU_NR99,DT@NJ-R,32,32000,2538,12404.5,22348.788,500.75
96,LSU_NR99,DT@NJ-V,1,1000,81,5.66,171.08,7.87
97,LSU_NR99,DT@NJ-V,32,1000,380,10.38,165.52,2.76
98,LSU_NR99,DT@NJ-V,1,2000,81,15.98,356.696,20.99
99,LSU_NR99,DT@NJ-V,32,2000,497,28.41,354.536,5.8
100,LSU_NR99,DT@NJ-V,1,4000,87,68.37,781.168,79.83
101,LSU_NR99,DT@NJ-V,32,4000,1079,158.76,776.884,14.84
102,LSU_NR99,DT@NJ-V,1,8000,90,283.74,1830.98,315.74
103,LSU_NR99,DT@NJ-V,32,8000,1739,756.52,1831.34,44.56
104,LSU_NR99,DT@NJ-V,1,16000,98,2495.65,4723.688,2583.22
105,LSU_NR99,DT@NJ-V,32,16000,2216,2823.0,4789.492,128.17
106,LSU_NR99,DT@NJ-V,1,32000,95,6847.59,14306.28,7313.0
107,LSU_NR99,DT@NJ-V,32,32000,2709,13701.33,14319.452,527.93
108,LSU_NR99,FastTree,1,1000,99,3082.16,2063.548,3091.33
109,LSU_NR99,FastTree,32,1000,118,3485.81,2065.648,2939.93
110,LSU_NR99,FastTree,1,2000,99,5996.79,3406.404,6013.0
111,LSU_NR99,FastTree,32,2000,122,6206.67,3405.38,5066.0
112,LSU_NR99,FastTree,1,4000,99,10902.1,5933.696,10937.0
113,LSU_NR99,FastTree,32,4000,125,12796.7,5936.06,10252.0
114,LSU_NR99,FastTree,1,8000,99,21191.74,10691.352,21324.0
115,LSU_NR99,FastTree,32,8000,126,26085.74,10716.264,20784.0
116,LSU_NR99,FastTree,1,16000,99,42080.94,19584.056,42480.0
117,LSU_NR99,FastTree,32,16000,132,50327.47,19594.428,38167.0
118,LSU_NR99,FastTree,1,32000,0,0.0,0.0,0.0
119,LSU_NR99,FastTree,32,32000,0,0.0,0.0,0.0
120,SSU_NR99,DT@BIONJ-R,1,1000,81,2.6,68.744,3.34
121,SSU_NR99,DT@BIONJ-R,32,1000,1075,13.1,65.636,1.23
122,SSU_NR99,DT@BIONJ-R,1,2000,80,15.03,150.604,19.54
123,SSU_NR99,DT@BIONJ-R,32,2000,1253,32.7,150.276,2.63
124,SSU_NR99,DT@BIONJ-R,1,4000,82,32.28,426.276,39.9
125,SSU_NR99,DT@BIONJ-R,32,4000,1268,69.28,425.172,5.51
126,SSU_NR99,DT@BIONJ-R,1,8000,89,290.71,1708.132,327.85
127,SSU_NR99,DT@BIONJ-R,32,8000,1984,361.36,1716.276,18.39
128,SSU_NR99,DT@BIONJ-R,1,16000,97,1496.0,6851.42,1570.27
129,SSU_NR99,DT@BIONJ-R,32,16000,2551,1731.85,6867.408,70.89
130,SSU_NR99,DT@BIONJ-R,1,32000,99,9428.84,25471.08,9691.0
131,SSU_NR99,DT@BIONJ-R,32,32000,2895,10137.56,25728.04,361.11
132,SSU_NR99,DT@BIONJ-V,1,1000,83,2.48,68.412,3.24
133,SSU_NR99,DT@BIONJ-V,32,1000,621,6.09,65.608,0.99
134,SSU_NR99,DT@BIONJ-V,1,2000,79,7.54,150.252,9.76
