	Datasets	Softwares	Threads	Sequences	Memory_Usage	Wall-clock_Time	Log_Likelihood
73	COVID19	FM@NJ	32	2000	234.764	28.48	-116325.0528			
74	COVID19	FM@NJ	1	4000	927.7	351.15	-173804.7978			
75	COVID19	FM@NJ	32	4000	927.816	352.76	-173804.7978			
76	COVID19	FM@NJ	1	8000	3696.832	3796	-272893.9486			
77	COVID19	FM@NJ	32	8000	3696.828	3814	-272893.9486			
78	COVID19	FM@NJ	1	16000	0	0				
79	COVID19	FM@NJ	32	16000	0	0				
80	COVID19	FM@NJ	1	32000	0	0				
81	COVID19	FM@NJ	32	32000	0	0				
82	COVID19	FM@NJ	1	64000	0	0				
83	COVID19	FM@NJ	32	64000	0	0				
84	COVID19	RapidNJ	1	1000	12.564	0.3	-82398.8474			
85	COVID19	RapidNJ	32	1000	12.572	0.34	-82398.8474			
86	COVID19	RapidNJ	1	2000	40.288	1.56	-116326.5681			
87	COVID19	RapidNJ	32	2000	40.292	1.55	-116326.5681			
88	COVID19	RapidNJ	1	4000	142.28	10.06	-173812.1126			
89	COVID19	RapidNJ	32	4000	142.276	10.2	-173812.1126			
90	COVID19	RapidNJ	1	8000	528.312	80.18	-272904.4717			
91	COVID19	RapidNJ	32	8000	528.312	80.45	-272904.4717			
92	COVID19	RapidNJ	1	16000	1997.548	535.28	-433722.2457			
93	COVID19	RapidNJ	32	16000	1997.544	538.46	-433722.2457			
94	COVID19	RapidNJ	1	32000	7593.864	4040	-703055.8586			
95	COVID19	RapidNJ	32	32000	7593.864	3619	-703055.8586			
96	COVID19	RapidNJ	1	64000	29538.636	23061	-1131201.077			
97	COVID19	RapidNJ	32	64000	29538.676	22422	-1131201.077			
98	LSU_NR99	DT@BIONJ-R	1	1000	28.092	0.82	-746700.3655			
99	LSU_NR99	DT@BIONJ-R	32	1000	27.604	0.89	-747032.7576			
100	LSU_NR99	DT@BIONJ-R	1	2000	98.972	3.31	-1337335.268			
101	LSU_NR99	DT@BIONJ-R	32	2000	98.964	3.03	-1337609.279			
102	LSU_NR99	DT@BIONJ-R	1	4000	381.832	13.61	-2342323.512			
103	LSU_NR99	DT@BIONJ-R	32	4000	385.412	12.07	-2341989.804			
104	LSU_NR99	DT@BIONJ-R	1	8000	1509.396	63.03	-4067376.051			
105	LSU_NR99	DT@BIONJ-R	32	8000	1517.012	47.84	-4066996.727			
106	LSU_NR99	DT@BIONJ-R	1	16000	6014.652	318.09	-7128807.59			
107	LSU_NR99	DT@BIONJ-R	32	16000	6028.924	217.42	-7128749.973			
108	LSU_NR99	DT@BIONJ-R	1	32000	24025.204	1802.15	-12341313.42			
109	LSU_NR99	DT@BIONJ-R	32	32000	24061.336	1044.06	-12342471.83			
110	LSU_NR99	DT@BIONJ-R	1	64000	96046.3	9312	-21824550.97			
111	LSU_NR99	DT@BIONJ-R	32	64000	96104.868	3991	-21825934.67			
112	LSU_NR99	DT@BIONJ-V	1	1000	20.316	0.79	-746726.3113			
113	LSU_NR99	DT@BIONJ-V	32	1000	17.264	0.91	-746920.0693			
114	LSU_NR99	DT@BIONJ-V	1	2000	67.736	3.1	-1337396.629			
115	LSU_NR99	DT@BIONJ-V	32	2000	67.496	3.14	-1337377.108			
116	LSU_NR99	DT@BIONJ-V	1	4000	256.292	14.08	-2341545.941			
117	LSU_NR99	DT@BIONJ-V	32	4000	256.516	12.2	-2341362.867			
118	LSU_NR99	DT@BIONJ-V	1	8000	1008.648	84.31	-4067408.832			
119	LSU_NR99	DT@BIONJ-V	32	8000	1009.032	61.5	-4068125.169			
120	LSU_NR99	DT@BIONJ-V	1	16000	4013.116	390.49	-7128813.384			
121	LSU_NR99	DT@BIONJ-V	32	16000	4013.584	242.53	-7130464.864			
122	LSU_NR99	DT@BIONJ-V	1	32000	16022.9	1891.62	-12341454.95			
123	LSU_NR99	DT@BIONJ-V	32	32000	16022.744	1040.93	-12342522.84			
124	LSU_NR99	DT@BIONJ-V	1	64000	64041.308	10473	-21824111.24			
125	LSU_NR99	DT@BIONJ-V	32	64000	64041.808	4784	-21826197.77			
126	LSU_NR99	DT@NJ-R	1	1000	24.184	0.76	-745236.2431			
